,Gene,log2FoldChange,pvalue,padj
0,DOK6,0.51,1.861e-08,0.0003053
1,TBX5,-2.129,5.655e-08,0.0004191
2,SLC32A1,0.9003,7.664e-08,0.0004191
3,IFITM1,-1.687,3.735e-06,0.006809
4,NUP93,0.3659,3.373e-06,0.006809
5,EMILIN2,1.534,2.976e-06,0.006809
6,TPX2,-0.9974,2.097e-06,0.006809
7,LAMA2,-1.425,2.39e-06,0.006809
8,CAV2,-1.052,3.213e-06,0.006809
9,TNN,-1.658,8.973e-06,0.01472
10,POU3F4,1.181,1.062e-05,0.01584
11,COL13A1,-1.647,1.394e-05,0.01592
12,IFITM3,-1.61,1.202e-05,0.01592
13,SHISA3,-1.477,1.31e-05,0.01592
14,LOC285954,1.05,1.456e-05,0.01592
15,VEPH1,1.137,2.211e-05,0.02267
16,ARHGAP29,-1.526,3.675e-05,0.03547
17,KIAA1755,-1.562,3.972e-05,0.0362
18,LAMC3,-1.563,4.29e-05,0.03704
19,ITM2A,-1.398,4.972e-05,0.04078
20,DTHD1,1.54,5.594e-05,0.04371
21,RBMS1,-0.9139,6.688e-05,0.04988
22,CEBPD,-1.202,7.859e-05,0.05606
23,DMBX1,-1.425,9.529e-05,0.06486
24,PAPLN,-1.253,9.883e-05,0.06486
25,ADM,-1.357,0.0001089,0.06872
26,COL2A1,-1.187,0.0001424,0.07794
27,HS3ST3A1,-1.004,0.0001388,0.07794
28,DYSF,-1.03,0.0001425,0.07794
29,PI16,1.495,0.0001297,0.07794
30,CDC42EP5,-1.355,0.0001581,0.08146
31,SLC12A8,-0.9425,0.0001589,0.08146
32,ZNF391,-1.024,0.0001913,0.09512
33,GALNTL2,1.075,0.0002298,0.1109
34,C4orf45,1.288,0.0002472,0.1159
35,KIF18B,-0.8849,0.0002551,0.1162
36,KIF20A,-0.9505,0.0002972,0.1318
37,PDE1B,1.053,0.0003356,0.1449
38,BCAN,1.117,0.0003698,0.1477
39,APLNR,-1.365,0.000378,0.1477
40,CILP,-1.11,0.0003582,0.1477
41,TEC,-1.373,0.0003701,0.1477
42,KLF5,-0.8177,0.0004159,0.1578
43,ACSS2,-0.5578,0.0004232,0.1578
44,RAPGEF2,0.3371,0.0004513,0.1645
45,C1orf51,-0.6451,0.0005237,0.1665
46,IGF2-AS1,-1.235,0.0005835,0.1665
47,RPLP0P2,-1.096,0.0005689,0.1665
48,COTL1,-0.7376,0.0005886,0.1665
49,MYO1D,-0.8454,0.0005529,0.1665
50,CIAO1,0.2695,0.000522,0.1665
51,POU3F3,0.6857,0.000588,0.1665
52,CFLAR,-0.9694,0.0005598,0.1665
53,BHLHE40,-1.127,0.0004785,0.1665
54,PLSCR4,-1.317,0.0004978,0.1665
55,HECW1,0.5135,0.0005373,0.1665
56,KCNQ3,1.147,0.000483,0.1665
57,TIMP1,-1.15,0.0005267,0.1665
58,CAV1,-1.115,0.0006722,0.1869
59,LTBP4,-0.8186,0.0006991,0.1912
60,HDAC1,-0.4542,0.0007203,0.1937
61,HSPG2,-1.218,0.0007963,0.1947
62,CYR61,-1.102,0.0008071,0.1947
63,MYOF,-1.194,0.0007397,0.1947
64,COL4A1,-1.252,0.0007866,0.1947
65,NMB,0.8677,0.0007872,0.1947
66,ICAM1,-1.144,0.0007795,0.1947
67,NOTCH3,-0.7585,0.0007529,0.1947
68,MPPED2,0.5135,0.0008344,0.1984
69,COL9A1,-0.9755,0.0008905,0.2087
70,ACSF2,-1.142,0.0009448,0.2183
71,KTN1,-0.3119,0.0009652,0.2199
72,ITPR1,-1.118,0.00102,0.226
73,PRPS2,-0.722,0.00101,0.226
74,FAM180B,1.249,0.001146,0.2399
75,POU2F3,-1.273,0.001114,0.2399
76,COL5A2,-1.262,0.001155,0.2399
77,ZSWIM3,0.438,0.001143,0.2399
78,CADM2,0.643,0.001102,0.2399
79,ARHGEF17,-0.5462,0.001214,0.2453
80,SSC5D,-1.126,0.001229,0.2453
81,NRN1,0.8605,0.001241,0.2453
82,PLAT,-1.103,0.001226,0.2453
83,SFXN2,-0.8373,0.00126,0.2456
84,FMNL2,-0.2466,0.001276,0.2456
85,ADAMTS3,-0.6153,0.001288,0.2456
86,ADAMTS19,-1.199,0.001348,0.2543
87,SH3BP1,-0.9641,0.001367,0.2548
88,LEFTY2,-1.225,0.001414,0.2578
89,EHBP1,0.3191,0.001414,0.2578
90,UAP1L1,-1.113,0.001454,0.2622
91,RAB27A,-1.073,0.001516,0.2702
92,ZNF213,0.3028,0.001604,0.28
93,TOMM34,-0.4213,0.001596,0.28
94,PERP,-0.914,0.001672,0.2888
95,OSMR,-1.226,0.001749,0.2988
96,CDCA3,-0.7986,0.001911,0.3119
97,GPR179,0.8394,0.001972,0.3119
98,TMC6,-1.078,0.001977,0.3119
99,STXBP5L,0.6711,0.001936,0.3119
100,HSPA1L,0.8842,0.001851,0.3119
101,PLIN2,-0.604,0.001866,0.3119
102,GSN,-1.117,0.001977,0.3119
103,F8A1,0.9911,0.00191,0.3119
104,SLC27A6,-1.196,0.001998,0.3121
105,COL4A2,-1.013,0.002192,0.3157
106,WFDC1,-1.162,0.002149,0.3157
107,DSEL,0.6867,0.002194,0.3157
108,DOCK6,-0.8158,0.002172,0.3157
109,MAN2B1,-0.4688,0.002099,0.3157
110,NFKBIZ,-0.888,0.002132,0.3157
111,OCIAD2,0.7605,0.002108,0.3157
112,REST,-0.5478,0.002073,0.3157
113,ANXA5,-0.8639,0.002075,0.3157
114,TRIM13,0.3688,0.002254,0.3216
115,ANLN,-0.7229,0.002306,0.3261
116,AP1S3,-0.8107,0.002352,0.3271
117,LOC100859930,0.9008,0.002343,0.3271
118,STK17B,-0.887,0.00238,0.3281
119,BHLHB9,0.4738,0.002441,0.3337
120,IL1R1,-1.185,0.00248,0.3362
121,CSDA,-0.7633,0.002833,0.35
122,POSTN,-1.176,0.002706,0.35
123,HHIPL1,0.8127,0.002742,0.35
124,APBA2,0.4314,0.002752,0.35
125,CBLN1,1.066,0.002768,0.35
126,ALPK2,-1.108,0.002789,0.35
127,NFATC2,-1.108,0.002726,0.35
128,CN5H6.4,0.7852,0.002792,0.35
129,ABHD14B,-1.03,0.002859,0.35
130,COL8A1,-1.171,0.002841,0.35
131,HCG11,-0.8357,0.002844,0.35
132,RUNX2,-0.88,0.002632,0.35
133,EPB41L2,-0.9145,0.002832,0.35
134,COL11A1,-1.145,0.002903,0.3528
135,PODN,-1.155,0.003085,0.3722
136,NET1,-1.015,0.00311,0.3724
137,IL13RA1,-1.106,0.003139,0.3731
138,RNF207,-0.7995,0.003239,0.3798
139,TRPM2,1.05,0.003246,0.3798
140,SDF2L1,-0.4649,0.003298,0.3798
141,SLCO2A1,-1.094,0.003293,0.3798
142,DACT2,-1.06,0.00331,0.3798
143,DCXR,-0.4101,0.003335,0.38
144,BCAM,-0.8227,0.003423,0.3873
145,FAM46B,-1.002,0.00347,0.39
146,FOXL1,-1.136,0.003579,0.3965
147,SMTN,-0.7131,0.003625,0.3965
148,SLC6A1,0.7104,0.003616,0.3965
149,YY2,-0.5988,0.003612,0.3965
150,DEPDC1,-0.755,0.003704,0.3999
151,HEPACAM2,1.116,0.003727,0.3999
152,WBP5,-0.8485,0.003729,0.3999
153,SPSB1,-1.05,0.003878,0.4105
154,KIF23,-0.7154,0.003953,0.4105
155,C1QL1,-1.072,0.003907,0.4105
156,CBLN2,1.072,0.003934,0.4105
157,LOC100505806,-1.069,0.003912,0.4105
158,POU3F1,0.7912,0.004163,0.4116
159,RGS8,0.9341,0.0043,0.4116
160,GAD2,0.7494,0.004273,0.4116
161,PKP2,-0.9689,0.004316,0.4116
162,KIAA0564,-0.4253,0.004323,0.4116
163,PIF1,-0.9292,0.004484,0.4116
164,OR1F1,0.8391,0.004052,0.4116
165,RRN3,0.3764,0.00431,0.4116
166,CORO1A,0.4844,0.004098,0.4116
167,CRISPLD2,-1.115,0.004242,0.4116
168,TOP2A,-0.7962,0.004366,0.4116
169,ANKRD12,0.3062,0.004161,0.4116
170,DHDH,-0.811,0.004357,0.4116
171,ZNF274,0.3354,0.004118,0.4116
172,DPP4,-1.127,0.004023,0.4116
173,TMEM169,0.7379,0.004108,0.4116
174,CMTM8,-0.7701,0.004417,0.4116
175,LAMP3,-0.9384,0.004515,0.4116
176,SYNJ2,-0.9266,0.004504,0.4116
177,DPY19L2P3,1.061,0.00448,0.4116
178,TSC22D4,-0.5131,0.00443,0.4116
179,AR,-0.5979,0.00436,0.4116
180,LOC339862,-1.109,0.004578,0.415
181,CCDC152,0.9749,0.004621,0.4165
182,NQO2,-0.6663,0.004716,0.4228
183,CMTM5,1.096,0.004868,0.4341
184,SERPING1,-0.8202,0.004974,0.4411
185,TLCD2,-0.9392,0.005095,0.4494
186,ATXN7L3B,0.3532,0.005133,0.4503
187,APOE,-0.9273,0.005183,0.4523
188,GPC3,-1.073,0.005233,0.4542
189,IRF1,-0.8166,0.00527,0.455
190,GNG2,0.3508,0.005368,0.4611
191,EPHX1,-0.5381,0.005794,0.4656
192,CLEC2D,-0.8191,0.005714,0.4656
193,PTPRB,-1.079,0.005753,0.4656
194,NFATC4,-0.93,0.005692,0.4656
195,LGALS3,-0.9472,0.005809,0.4656
196,OTX2,0.8839,0.005746,0.4656
197,UACA,-1.058,0.005562,0.4656
198,HAPLN3,-0.9001,0.005753,0.4656
199,MYO5B,-0.982,0.005461,0.4656
200,PVRL3,-0.4554,0.005817,0.4656
201,PRDM6,-1.068,0.005688,0.4656
202,PDLIM7,-0.7154,0.005623,0.4656
203,TSPYL4,0.3561,0.005811,0.4656
204,CHRM2,0.9253,0.005564,0.4656
205,PMEL,-1.007,0.005987,0.4666
206,GLIPR1,-1.05,0.006001,0.4666
207,NLRC5,-0.9957,0.005976,0.4666
208,FAM117A,-0.4496,0.005934,0.4666
209,FAM83D,-0.7423,0.006,0.4666
210,C7,-1.072,0.005919,0.4666
211,SERPINF1,-1.026,0.006158,0.4721
212,PLEKHH2,-1.032,0.006134,0.4721
213,GYPC,-1.042,0.006102,0.4721
214,LAMB2,-0.5626,0.006196,0.4728
215,SYNPO2,-1.065,0.006232,0.4734
216,SLCO4C1,0.9821,0.006278,0.4746
217,TNFAIP6,-1.011,0.006348,0.4777
218,FKBP10,-0.7909,0.006391,0.4788
219,LAMC1,-0.9224,0.006516,0.4827
220,FAM150B,-1.066,0.006477,0.4827
221,TM4SF1,-1.051,0.006532,0.4827
222,PCK2,-0.9537,0.006608,0.4832
223,ZNF732,-0.949,0.006608,0.4832
224,SLC35D2,-0.8576,0.006626,0.4832
225,NOTCH2NL,-0.517,0.006761,0.4867
226,KRT19,-1.027,0.006764,0.4867
227,PCDHGB7,1.014,0.006713,0.4867
228,LOC100128787,0.9828,0.006919,0.4872
229,PLXDC2,-0.554,0.00689,0.4872
230,SLFN11,-1.06,0.006835,0.4872
231,NEDD4L,0.3903,0.006904,0.4872
232,SPATA2,0.3181,0.006851,0.4872
233,CDCP1,-1.047,0.007063,0.4931
234,USP53,-0.4552,0.007063,0.4931
235,TRAF5,-0.9501,0.007369,0.4935
236,PHYHIPL,0.4773,0.007331,0.4935
237,A2M,-1.048,0.00719,0.4935
238,C12orf34,0.596,0.007283,0.4935
239,LOC255480,-0.9411,0.007153,0.4935
240,LOC150622,0.9708,0.007286,0.4935
241,LOC100130451,0.9622,0.007342,0.4935
